circle_id,waseda_id,名前,メインカテゴリ,サブカテゴリ,活動内容,活動日時・場所,所属人数,設立年,外国人学生の受け入れ,外国人学生歓迎マーク,写真URL,ウェブサイト（学校）,サイトメモ,ウェブサイト（サークル）,Instagram,X,Facebook,LINE,Waseda Weekly,YouTube,TikTok,note,その他のリンク,備考
C0011,3410,サッカー観戦会,スポーツ（球技）,サッカー,私たちサッカー観戦会は全国各地のスタジアムで好きなサッカーチームを熱く応援するサークルです。基本的にはサークル員全員での活動というよりは、同じチームを応援するもの同士で、好きな時にスタジアムへ行き試合観戦を行っています。ただ、サークル員全員での活動として、定期的な飲み会やフットサルなども行っています。また年に1度のイベントとして、秋ごろにサッカー界から有名人をお招きして講演会を行っています。近年では、元日本代表の佐藤寿人氏や、アナウンサーの下田恒幸氏をお招きしました。試合観戦やイベントへの参加も強制力のあるものではないので、自分のペースで参加できるサークルです。Jリーグ、海外サッカー、高校サッカーまでサッカー好きなら誰でも大歓迎です。一緒にスタジアムで応援しましょう。,基本的に週末、全国各地のスタジアム,170人,2000年,情報なし,なし,https://www.waseda.jp/inst/weekly/assets/uploads/2023/03/C-168_1-940x705.jpg,https://www.waseda.jp/inst/weekly/circleguide/detail/?id=3410&lng=en,なし,なし,https://www.instagram.com/soccerkansenkai/,https://twitter.com/skk_waseda,なし,なし,なし,なし,なし,なし,なし,公式サイトから取得; リンク検証済み; 外国人学生の受け入れなし
C0012,3775,FC GUSTA,スポーツ（球技）,サッカー,"サークルサッカー最高峰「新関東リーグ」1部所属。総勢150人超のインカレサッカーサークルです。2009年設立と比較的浅い歴史でありながらも過去には、日本一のタイトルを獲得し、近年でも必ず上位に食い込む程、安定した成績を残しています。
/
/
/
/プレイヤーは早稲田生で構成され、全国大会出場経験者やユースチーム出身の選手から初心者まで幅広い背景を持つ選手が多数在籍しています。
/
/
/
/「日本一のサッカーサークル」を目標に掲げ、サッカー面は勿論、楽しさの面でも両立することに重きを置いています。
/
/
/
/歴史が浅いため、しがらみがなく自由な雰囲気のサークルです。サッカーも学生生活も全力で楽しみたい新入生をお待ちしています。気になった方はぜひ、SNSの方から連絡をお待ちしております。",週3回　主に月、水、木/時間は不定期（主に13時〜15時）/小石川、落合、西戸山、代々木,150人,2009年,0人,あり,"https://www.waseda.jp/inst/weekly/assets/uploads/2023/12/GUSTA-3-940x705.jpg, https://www.waseda.jp/inst/weekly/assets/uploads/2023/12/GUSTA-2-940x705.jpg, https://www.waseda.jp/inst/weekly/assets/uploads/2023/12/GUSTA-1.jpg",https://www.waseda.jp/inst/weekly/circleguide/detail/?id=3775&lng=en,なし,なし,https://www.instagram.com/fcgusta_waseda/,https://twitter.com/fcgusta?s=21,なし,なし,なし,なし,なし,なし,なし,公式サイトから取得; リンク検証済み
C0013,3553,＠アットマーク,スポーツ（球技）,サッカー,"アットマークの良いところは誰でも楽しくサッカーができることです！大学からサッカーを始めた人もサッカーを小さいときからやってきた人も一緒に練習をしています。出席制度は無く練習に来たい人だけ来れる自由な雰囲気のサークルです。サークル員同士の仲も良く練習後にご飯を食べたり遊んだりしています。年に4回の合宿や夏キャンプなどのイベントも盛りだくさんです。またアットマークは学年同士の仲が良く3年生で引退などということはありません。4年間楽しめるサークルです。卒業生が参加するイベントもありOB、OGとも仲が良いです。
/
/
/
/ぜひみんなでサッカーしましょう！！",毎週水曜日、土曜日/15~17時/北野運動場、スポーツホール、航空公園,120人,情報なし,0人,なし,なし,https://www.waseda.jp/inst/weekly/circleguide/detail/?id=3553&lng=en,なし,なし,https://www.instagram.com/2023_ATMARK/,https://twitter.com/2023_atmark,なし,なし,なし,なし,なし,なし,なし,公式サイトから取得; リンク検証済み; 設立年なし; 写真URLなし
C0014,3409,蹴球同好会,スポーツ（球技）,フットサル,蹴球同好会の魅力は、近年実績を残しつつも、非レギュラー制で仲良くやっているところ！女子はマネージャーもプレイヤーも、ワイワイして盛り上げてくれます（笑）。週1・2回の練習や大会、イベントや飲み会も充実。ディズニー、ハロウィーン、クリスマスパーティー、スノボ合宿などなど...大学生だからこそできる楽しさを追求して活動してます！たくさんの先輩が待ってます！蹴球同好会で大学生最高の思い出を作ろう！,毎週水曜日/17時/豊島園,90人,1974年,0人,なし,"https://www.waseda.jp/inst/weekly/assets/uploads/2016/09/8d462ce3b993e7a6a02700afa4297f82-940x705.jpg, https://www.waseda.jp/inst/weekly/assets/uploads/2016/09/c2b59b061bb6fc84753decc4e968bb8f.jpg, https://www.waseda.jp/inst/weekly/assets/uploads/2016/09/bcb5af7486e5ea0fa04465efd2238fdf-940x705.jpg",https://www.waseda.jp/inst/weekly/circleguide/detail/?id=3409&lng=en,なし,なし,なし,https://twitter.com/wasedashukyu,なし,なし,なし,なし,なし,なし,なし,公式サイトから取得; リンク検証済み
C0015,3413,メインストリートF．C,スポーツ（球技）,フットサル,男子は早稲田、女子は各女子大の学生が集まっています。木曜日は高田馬場の西戸山公園、日曜日は都内のフットサルコートで練習しています。フットサルを楽しむことに重きを置くエンジョイ志向のチームです。試合に勝つことが第一である競技志向のチームではないので雰囲気も落ち着いており、初心者や女子でも気軽に楽しくフットサルをしています。大会になったら皆全力で、練習やサークル内大会はとにかく楽しく活動しています。サークル内大会や早稲田大学の他サークルとの交流戦も行なっています。普段の木日の練習に加え、年3回の合宿(5月:新歓合宿　夏休み:夏合宿　春休み:春合宿)のほかにも運動会、ウォークラリー、ドライブ、スノボなどの様々なレクリエーション企画も行なっています。,毎週木曜日・日曜日/15時半/西戸山公園、王子、錦糸町,62人,1996年,0人,なし,"https://www.waseda.jp/inst/weekly/assets/uploads/2020/04/c171_1-940x628.jpg, https://www.waseda.jp/inst/weekly/assets/uploads/2020/04/c171_2-940x705.jpg, https://www.waseda.jp/inst/weekly/assets/uploads/2020/04/C171_3-940x705.jpg",https://www.waseda.jp/inst/weekly/circleguide/detail/?id=3413&lng=en,ウェブサイト（サークル）アクセス制限,https://mainstreetfc.jimdofree.com/,https://www.instagram.com/mainstreet_fc_,https://twitter.com/mainstreet_fc,なし,なし,なし,なし,なし,なし,なし,公式サイトから取得; リンク検証済み; ウェブサイト（サークル）: アクセス制限 (403)
C0016,3586,PETIT ROYAL FC（プチロワイヤル　エフシー）,スポーツ（球技）,フットサル,所沢キャンパス最大級のフットサルサークルPETIT ROYAL FC(プチロワイヤルFC)です。原則は、1.初心者限定(女子は経験者OK)、2.サークル活動内での禁煙、3.サークル活動内での一気飲み強制禁止。毎週2日、所沢キャンパスのスポーツホールで男女学年関係なく、全員がプレーヤーでフットサルをしています。初心者限定なので、新しいスポーツをしてみたい方、ゆるくスポーツを楽しみたい方歓迎です。また、禁煙、一気強制禁止なのでタバコやお酒が苦手な方歓迎です。毎週のフットサル活動以外にも、年3回の合宿、夏冬の大会の主催、OB会などのイベントも行っています。男女学年関係なく外部の大会にも参加しています。,毎週水曜日/18〜20時/日曜日13〜17時/スポーツホール,100人,1997年,0人,なし,"https://www.waseda.jp/inst/weekly/assets/uploads/2017/03/PETIT-ROYAL-FC2-940x526.jpg, https://www.waseda.jp/inst/weekly/assets/uploads/2017/03/PETIT-ROYAL-FC3-940x705.jpg, https://www.waseda.jp/inst/weekly/assets/uploads/2017/03/PETIT-ROYAL-FC1-940x705.jpg",https://www.waseda.jp/inst/weekly/circleguide/detail/?id=3586&lng=en,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,公式サイトから取得; リンク検証済み
C0017,3414,KatZwei,スポーツ（球技）,フットサル,キャッツバイは毎週2回、公園でフットサルをして汗を流しています。オール早稲田のサークルで、また女子もみんなマネジャーとしてではなくプレーヤーとして参加します。多くのメンバーが初心者であり、ガチガチでフットサルをしたり、レギュラーを勝ち取るために懸命に練習をしたりするというよりは、汗を流したいときや、みんなに会いたいときに顔を出して、楽しくフットサルをするというサークルです！ 一学年が20人程度で、同学年の仲も、先輩後輩の仲も非常にいいです。大会には月に1度程度の割合で一般の市民大会に出ています。社会人の方や時には子どももメンバーであるチームと戦うため、大会ではあっても終始和やかに試合をします！ みんな仲が良く、みんながみんなのことを考えて活動しているところがキャッツバイの魅力です!!,毎週水曜日・土曜日/13時〜18時/西戸山公園,71人,2003年,0人,なし,"https://www.waseda.jp/inst/weekly/assets/uploads/2016/09/KatZwei1-940x564.jpg, https://www.waseda.jp/inst/weekly/assets/uploads/2016/09/KatZwei2-940x564.jpg, https://www.waseda.jp/inst/weekly/assets/uploads/2016/09/KatZwei3-940x627.jpg",https://www.waseda.jp/inst/weekly/circleguide/detail/?id=3414&lng=en,なし,なし,なし,https://twitter.com/katz_official,なし,なし,なし,なし,なし,なし,なし,公式サイトから取得; リンク検証済み
C0018,3415,Espiga,スポーツ（球技）,フットサル,男子約35人、女子約35人で週一回、毎週金曜日に吉祥寺でフットサルをしています。練習の前半は男女含めてミックスで楽しく体を動かし、後半は男子だけ、女子だけでがっつりフットサルを楽しみます。また、年に数回大会に出ることもあり、今年の春には女子が早稲田の学内戦で準優勝を果たしました。もちろんフットサル以外のイベントも充実しており、ディズニー、キャンプ、年四回の合宿や、納涼船、クリスマスパーティーなどがあります。メンバー同士の仲が良いのもこのサークルの売りで、キャンパスライフを充実させてくれること間違いなし。金曜日はEspiga以外ありえない。,毎週金曜日/19時/吉祥寺,70人,2005年,0人,なし,"https://www.waseda.jp/inst/weekly/assets/uploads/2020/03/Espiga_200330-940x705.jpg, https://www.waseda.jp/inst/weekly/assets/uploads/2017/03/Espiga2-940x644.jpg, https://www.waseda.jp/inst/weekly/assets/uploads/2017/03/Espiga3-940x705.jpg",https://www.waseda.jp/inst/weekly/circleguide/detail/?id=3415&lng=en,なし,なし,https://www.instagram.com/espiga_waseda/?igshid=n04owouyjusc,https://twitter.com/espiga2020,なし,なし,なし,なし,なし,なし,なし,公式サイトから取得; リンク検証済み
C0019,3416,ディエンテ早稲田,スポーツ（球技）,フットサル,ディエンテは初心者から高校までサッカーをやっていた人、男子も女子も留学生も誰でもみんなで楽しめるフットサルサークルです。特にディエンテは留学生が多数在籍しているフットサルサークルです。留学生と交流し、遊びたい、外国語を学びたい、海外旅行について聞きたい、そんな人大歓迎です。またディエンテは毎年上級者から初心者までいますが、みんなで楽しく、そして真面目に練習しています。強くはないかもしれませんが、大会では毎回ドラマ作っちゃいます。雰囲気も飲みも超まったりでゆるーく楽しむサークルです。年に数回ある合宿や、他にもいろいろイベント充実しています！ディエンテのアットホームな雰囲気は早稲田1です！ぜひ一度練習に来てみてください！,毎週火曜日・木曜日・その他/18時/田端新町コミュニティアリーナ,81人,2009年,22人,あり,"https://www.waseda.jp/inst/weekly/assets/uploads/2016/09/7818e04f035a9052fbfbc4668df2196f-940x306.jpg, https://www.waseda.jp/inst/weekly/assets/uploads/2016/09/2d9fd5a0382c36aca7c5f0ead4bb9cb7-940x705.jpg, https://www.waseda.jp/inst/weekly/assets/uploads/2016/09/fa683587f7468019ed1d05e89d726e92-940x705.jpg",https://www.waseda.jp/inst/weekly/circleguide/detail/?id=3416&lng=en,なし,なし,なし,https://twitter.com/diente_waseda,なし,なし,なし,なし,なし,なし,なし,公式サイトから取得; リンク検証済み
C0020,3721,FC． TEMPESTA,スポーツ（球技）,フットサル,FC.TEMPESTAは所沢キャンパスを中心に活動しているフットサルサークルです。練習は男女mixで行いマネージャーはいません！早稲田も他大も初心者も経験者も男女も関係なく色々な人がフットサルを全力で楽しんでいます。大会にも年に数回参加して様々なところで好成績を残してきました！フットサルメインですが、イベントも充実しています！夏合宿やクリスマスコンパ、スノボ合宿などなど、、。ぜひ、気楽に参加してみてください！個性豊かなメンバーとともにみなさんをお待ちしております！,火曜日と金曜日,60人,2011年,0人,なし,"https://www.waseda.jp/inst/weekly/assets/uploads/2019/07/339291c30ecf69d7aa0e674e1e6b5390.jpg, https://www.waseda.jp/inst/weekly/assets/uploads/2019/07/9bca947f093094e5629e0bb62d687eed.jpg, https://www.waseda.jp/inst/weekly/assets/uploads/2019/07/0f0f6682695b1ea87c2504cb14a305ae-940x627.jpg",https://www.waseda.jp/inst/weekly/circleguide/detail/?id=3721&lng=en,サークルサイト閉鎖,http://tempesta.php.xdomain.jp,https://www.instagram.com/fc.tempesta/,https://twitter.com/FC_TEMPESTA,なし,なし,なし,なし,なし,なし,なし,公式サイトから取得; リンク検証済み; ウェブサイト（サークル）: リンク切れ (fetch failed)
